application_id,difficulty,disposition,gross_annual,amount,term_months,existing_credit_monthly,debt_to_income_pct,bureau_score,file_age_months,delinquencies_24m,delinquency_recency_months,income_verified,employment,top_driver,all_drivers,must_surface,decoys,archetype
APP000044,near_boundary,refer,15922,9323,36,316,47.5,652,75,0,0,Yes,self_employed,dti_ratio,dti_ratio,debt-to-income ratio of 47% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; employment_stability; postcode_district; purpose; tenure_months; title,other
APP000448,near_boundary,refer,13547,10634,36,190,48.5,670,46,1,7,Yes,permanent,dti_ratio,dti_ratio; delinquencies_24m; delinquency_recency_months,debt-to-income ratio of 49% exceeds the 40% policy limit | the 40% debt-to-income policy limit | a missed payment within the last 12 months,age_band; dependants; employer_name; postcode_district; purpose; tenure_months; title,other
APP000045,near_boundary,refer,20793,10181,36,529,50.3,667,65,0,0,Yes,permanent,dti_ratio,dti_ratio,debt-to-income ratio of 50% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,other
APP000107,near_boundary,refer,27642,7808,24,393,33.2,645,6,2,4,No,permanent,delinquencies_24m,delinquencies_24m; delinquency_recency_months; file_age_months; income_verified,2 missed payment(s) in the last 24 months | a missed payment within the last 12 months,age_band; dependants; employer_name; postcode_district; purpose; tenure_months; title,other
APP000059,clean,refer,29550,13095,60,559,34.8,501,70,1,13,Yes,permanent,bureau_score,bureau_score; delinquencies_24m,a bureau score of 501,age_band; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,"weak record, affordable amount"
APP000678,clean,refer,20045,22732,60,288,48.1,653,75,0,0,Yes,self_employed,dti_ratio,dti_ratio,debt-to-income ratio of 48% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; employment_stability; postcode_district; purpose; tenure_months; title,other
APP000028,clean,refer,24951,12948,48,413,36.5,608,44,0,0,No,self_employed,income_verified,income_verified; bureau_score,income not verified,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; employment_stability; postcode_district; purpose; tenure_months; title,"weak record, affordable amount"
APP000407,clean,refer,22800,9883,36,503,44.0,625,57,1,15,Yes,permanent,dti_ratio,dti_ratio; delinquencies_24m; bureau_score,debt-to-income ratio of 44% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,weak record and over the limit
APP000037,clean,refer,22295,22266,36,367,60.1,700,135,0,0,Yes,permanent,dti_ratio,dti_ratio,debt-to-income ratio of 60% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,"strong record, borrowing too much"
APP000185,clean,refer,22105,9655,60,560,42.3,597,63,2,14,Yes,permanent,delinquencies_24m,delinquencies_24m; bureau_score; dti_ratio,2 missed payment(s) in the last 24 months | the 40% debt-to-income policy limit,age_band; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,weak record and over the limit
APP000039,clean,refer,23723,13738,60,462,39.1,570,18,0,0,Yes,permanent,bureau_score,bureau_score; file_age_months,a bureau score of 570,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,"weak record, affordable amount"
APP000172,clean,refer,25741,12695,24,327,43.4,633,34,0,0,Yes,contract,dti_ratio,dti_ratio; bureau_score; file_age_months,debt-to-income ratio of 43% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; employment_stability; postcode_district; purpose; tenure_months; title,weak record and over the limit
APP000323,clean,refer,26401,23682,48,461,49.8,695,111,2,1,Yes,permanent,dti_ratio,dti_ratio; delinquencies_24m; delinquency_recency_months,debt-to-income ratio of 50% exceeds the 40% policy limit | the 40% debt-to-income policy limit | a missed payment within the last 12 months,age_band; dependants; employer_name; postcode_district; purpose; tenure_months; title,"strong record, borrowing too much"
APP000155,clean,refer,19171,19223,36,233,55.1,688,119,1,23,Yes,permanent,dti_ratio,dti_ratio; delinquencies_24m,debt-to-income ratio of 55% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,"strong record, borrowing too much"
APP000454,clean,refer,19904,14859,60,449,47.4,624,58,0,0,Yes,permanent,dti_ratio,dti_ratio; bureau_score,debt-to-income ratio of 47% exceeds the 40% policy limit | the 40% debt-to-income policy limit,age_band; delinquencies_24m; delinquency_recency_months; dependants; employer_name; postcode_district; purpose; tenure_months; title,weak record and over the limit
APP000522,clean,refer,35041,31550,36,217,43.8,679,50,1,7,Yes,self_employed,dti_ratio,dti_ratio; delinquencies_24m; delinquency_recency_months,debt-to-income ratio of 44% exceeds the 40% policy limit | the 40% debt-to-income policy limit | a missed payment within the last 12 months,age_band; dependants; employer_name; employment_stability; postcode_district; purpose; tenure_months; title,other
